Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,TOV,GmSc,FGA,3PA,Games_Played,Efficiency_Rating,Usage_Rate,Impact_Score,Scoring_Focus,Rebounding_Focus,Playmaking_Focus,Cluster_KMeans,Cluster_DBSCAN,Archetype,Elite_Trajectory,Player_Name,Impact_Score_Rank
POR,32.28,18.44,2.75,4.98,0.83,0.1,0.41,0.34,0.64,2.08,12.78,15.29,8.06,48,25.020000000000003,25.828996282527875,16.451999999999998,0.7046236148261368,0.10508215513947267,0.19029423003439053,3,0,Elite Sharpshooter,1,Anfernee Simons,88.0
ORL,24.7,8.92,2.57,3.41,1.02,0.51,0.39,0.2,0.56,1.9,6.45,7.69,2.35,49,14.53,18.636437246963563,8.873999999999999,0.5986577181208054,0.17248322147651005,0.22885906040268456,2,0,Combo Guard,0,Anthony Black,238.0
LAL,34.27,25.74,11.86,3.36,1.29,2.14,0.52,0.23,0.72,2.21,23.1,18.02,2.24,42,42.17999999999999,28.334986868981613,28.823999999999998,0.6284179687500001,0.28955078125000006,0.08203125000000001,3,0,Elite Sharpshooter,1,Anthony Davis,5.0
MIN,36.73,27.22,5.78,4.53,1.14,0.69,0.44,0.41,0.8,3.45,18.78,20.49,9.88,51,35.91,31.285597604138307,23.918999999999997,0.7252864375166533,0.1540101252331468,0.12070343725019984,3,0,Elite Sharpshooter,1,Anthony Edwards,20.0
WAS,5.79,1.83,0.81,0.19,0.17,0.06,0.29,0.14,0.17,0.17,1.38,1.22,0.42,36,2.89,11.523316062176166,1.8329999999999997,0.6466431095406361,0.28621908127208484,0.06713780918727916,5,0,Role Player,0,Anthony Gill,451.0
NOP,9.29,4.3,0.9,0.65,0.3,0.0,0.38,0.23,0.22,0.25,2.9,4.0,2.1,20,5.9,21.95909580193757,3.8,0.735042735042735,0.15384615384615383,0.1111111111111111,1,0,Primary Scorer,0,Antonio Reeves,395.0
NYK,7.85,1.79,1.84,0.42,0.0,0.63,0.29,0.0,0.16,0.58,1.7,1.05,0.0,19,4.1,9.96687898089172,2.42,0.4419753086419753,0.45432098765432105,0.1037037037037037,0,0,Glass Cleaner,0,Ariel Hukporti,436.0
DET,20.6,8.57,4.97,1.87,1.57,0.43,0.52,0.12,0.4,1.33,7.77,6.8,1.07,30,16.08,18.943689320388344,10.262999999999998,0.5561323815704088,0.3225178455548345,0.12134977287475665,4,0,Primary Scorer,0,Ausar Thompson,200.0
LAL,34.66,18.55,4.27,6.09,1.14,0.18,0.45,0.37,0.73,2.45,15.02,13.7,7.05,44,27.78,22.36583958453549,18.848,0.6416464891041163,0.14769975786924938,0.2106537530266344,3,0,Elite Sharpshooter,1,Austin Reaves,63.0
CHI,30.67,12.41,3.56,4.66,0.85,0.44,0.5,0.35,0.43,1.32,10.81,9.85,4.17,41,20.600000000000005,17.481578089338115,13.747000000000002,0.6015511391177896,0.17256422685409595,0.22588463402811437,2,0,Combo Guard,0,Ayo Dosunmu,123.0
MIA,33.97,16.41,9.96,4.51,1.27,0.8,0.46,0.25,0.62,2.27,14.87,13.55,2.55,49,30.680000000000003,22.353841624963206,19.613,0.5314119170984456,0.3225388601036269,0.14604922279792745,4,-1,Primary Scorer,1,Bam Adebayo,55.0
IND,20.37,5.78,2.56,1.28,0.61,0.28,0.4,0.32,0.12,0.33,4.58,5.03,3.47,36,10.179999999999998,12.630338733431518,6.26,0.6008316008316009,0.2661122661122661,0.13305613305613306,4,0,Primary Scorer,0,Ben Sheppard,325.0
BRK,24.99,6.18,5.21,6.94,0.79,0.48,0.51,0.0,0.18,2.67,7.87,5.15,0.0,33,16.93,15.020408163265307,10.588,0.33715220949263497,0.28423349699945444,0.37861429350791054,2,-1,Combo Guard,0,Ben Simmons,192.0
IND,31.62,16.35,5.75,1.85,0.6,0.38,0.48,0.38,0.69,1.94,11.27,12.23,4.19,48,22.990000000000002,21.51043643263757,14.786,0.6826722338204593,0.24008350730688932,0.07724425887265135,4,0,Primary Scorer,1,Bennedict Mathurin,108.0
WAS,33.31,12.55,5.06,3.51,1.36,0.74,0.4,0.26,0.68,2.13,9.98,10.55,3.85,47,21.089999999999996,18.271990393275292,13.312999999999999,0.594223484848485,0.23958333333333334,0.16619318181818182,4,0,Primary Scorer,0,Bilal Coulibaly,132.0
SAS,9.27,3.13,0.74,1.94,0.45,0.1,0.37,0.06,0.27,0.9,2.75,2.65,0.68,31,5.46,18.381877022653722,3.5629999999999997,0.5387263339070567,0.12736660929432012,0.33390705679862304,2,-1,Combo Guard,0,Blake Wesley,408.0
MIL,25.0,13.7,8.32,2.16,0.68,0.57,0.46,0.33,0.47,1.27,11.18,12.07,3.64,44,24.16,25.612799999999996,15.073999999999998,0.5665839536807279,0.34408602150537637,0.08933002481389579,4,0,Primary Scorer,1,Bobby Portis,107.0
ATL,24.91,10.0,2.75,2.04,0.83,0.25,0.36,0.31,0.48,1.54,5.75,9.33,6.08,24,14.329999999999998,20.945804897631472,8.323999999999998,0.676132521974307,0.18593644354293443,0.13793103448275862,1,0,Primary Scorer,0,Bogdan Bogdanović,259.0
PHO,7.2,3.73,1.6,0.33,0.07,0.33,0.49,0.12,0.23,0.47,2.95,2.67,1.4,15,5.590000000000001,20.93333333333333,3.742,0.6590106007067138,0.2826855123674912,0.05830388692579505,1,0,Primary Scorer,0,Bol Bol,398.0
LAC,11.1,7.2,1.2,1.4,0.9,0.2,0.37,0.32,0.5,1.2,4.78,5.75,4.0,20,9.700000000000001,30.054054054054056,6.256,0.7346938775510203,0.12244897959183672,0.14285714285714285,1,-1,Primary Scorer,0,Bones Hyland,326.0
PHO,32.36,17.35,3.38,3.43,1.11,0.62,0.49,0.4,0.54,1.97,12.69,13.27,5.05,37,23.92,22.605686032138443,16.058999999999997,0.7181291390728477,0.13990066225165562,0.1419701986754967,3,0,Elite Sharpshooter,1,Bradley Beal,91.0
OKC,5.88,2.82,1.59,0.35,0.12,0.35,0.44,0.32,0.06,0.12,2.57,2.12,1.65,17,5.109999999999999,18.28571428571429,3.3319999999999994,0.592436974789916,0.3340336134453782,0.07352941176470588,5,0,Role Player,0,Branden Carlson,415.0
GSW,24.69,9.37,4.61,3.37,0.97,0.18,0.38,0.33,0.35,1.08,8.49,8.08,4.03,38,17.42,17.80801944106926,11.169,0.540057636887608,0.26570605187319885,0.19423631123919308,4,0,Primary Scorer,0,Brandin Podziemski,179.0
NOP,25.8,11.79,3.41,2.83,1.48,0.24,0.43,0.32,0.52,1.45,9.17,9.97,3.66,29,18.3,21.246511627906976,11.908999999999999,0.6539101497504158,0.18912922906267332,0.1569606211869107,4,0,Primary Scorer,0,Brandon Boston,161.0
NOP,19.12,7.92,2.75,0.83,0.67,0.08,0.38,0.3,0.52,0.67,5.18,7.0,2.42,12,11.58,19.25523012552301,7.1,0.688695652173913,0.2391304347826087,0.07217391304347825,1,0,Primary Scorer,0,Brandon Boston Jr.,301.0
MEM,18.82,7.91,4.98,0.96,0.87,0.55,0.59,0.01,0.31,0.6,7.76,5.7,0.34,47,14.670000000000002,16.068012752391073,9.833,0.5711191335740071,0.3595667870036101,0.06931407942238266,5,0,Role Player,0,Brandon Clarke,211.0
NOP,33.06,22.22,5.56,5.17,0.89,0.61,0.45,0.38,0.73,3.83,14.68,18.5,6.39,18,30.619999999999997,32.421052631578945,19.461999999999996,0.6743550834597876,0.1687405159332322,0.1569044006069803,3,0,Elite Sharpshooter,1,Brandon Ingram,57.0
CHO,34.21,21.04,4.85,3.63,1.07,0.74,0.41,0.36,0.72,2.81,13.13,18.19,10.85,27,28.52,29.46506869336451,17.747,0.7127371273712737,0.16429539295392953,0.12296747967479675,3,0,Elite Sharpshooter,1,Brandon Miller,76.0
DAL,7.07,2.76,0.76,1.12,0.18,0.0,0.32,0.13,0.23,0.59,1.91,2.35,0.88,17,4.2299999999999995,19.96039603960396,2.606,0.5948275862068966,0.16379310344827588,0.24137931034482762,2,-1,Combo Guard,0,Brandon Williams,429.0
UTA,17.78,9.28,2.6,1.25,0.57,0.08,0.41,0.29,0.4,1.35,6.0,7.45,4.53,40,12.43,23.7570303712036,7.9289999999999985,0.7067783701447068,0.19801980198019803,0.09520182787509521,1,0,Primary Scorer,0,Brice Sensabaugh,270.0
LAL,4.01,0.88,0.44,0.44,0.25,0.12,0.17,0.06,0.12,0.31,0.21,1.5,0.62,16,1.8199999999999998,21.66583541147132,0.693,0.5,0.25,0.25,2,-1,Combo Guard,0,Bronny James,470.0
MIL,32.25,12.22,4.72,1.7,0.74,1.9,0.46,0.34,0.46,1.02,10.36,9.76,5.18,50,20.259999999999998,16.044651162790696,13.329999999999998,0.6555793991416309,0.25321888412017163,0.09120171673819742,4,0,Primary Scorer,0,Brook Lopez,130.0
TOR,19.59,8.39,3.78,1.56,0.94,0.17,0.36,0.22,0.6,1.06,6.52,7.28,2.0,18,13.78,20.43491577335375,8.697999999999999,0.6110706482155863,0.2753095411507647,0.11361981063364894,4,0,Primary Scorer,0,Bruce Brown,246.0
TOR,8.62,3.41,3.0,1.06,0.24,0.53,0.49,0.0,0.18,0.82,3.24,2.88,0.0,17,7.42,20.60324825986079,4.494,0.45649263721552874,0.4016064257028112,0.14190093708165996,5,0,Role Player,0,Bruno Fernando,374.0
GSW,23.45,11.71,3.27,1.69,0.84,0.29,0.39,0.34,0.32,1.24,7.69,10.16,6.98,51,16.560000000000002,23.334754797441366,10.351,0.7024595080983803,0.1961607678464307,0.10137972405518896,1,0,Primary Scorer,0,Buddy Hield,195.0
NOP,33.36,22.0,3.61,3.82,0.79,0.53,0.43,0.34,0.62,1.74,14.56,18.39,8.21,38,29.01,28.964028776978417,18.895,0.7475365273530411,0.12266394835202174,0.12979952429493713,3,0,Elite Sharpshooter,1,CJ McCollum,60.0
DET,35.68,25.6,6.3,9.45,0.98,0.74,0.46,0.34,0.76,4.43,19.19,21.15,6.43,47,38.64,34.412556053811656,25.025,0.619105199516324,0.15235792019347036,0.22853688029020552,3,-1,Elite Sharpshooter,1,Cade Cunningham,14.0
ORL,11.8,2.81,1.0,0.42,0.19,0.08,0.21,0.19,0.12,0.14,1.62,2.83,2.44,36,4.360000000000001,12.081355932203389,2.442,0.6643026004728132,0.23640661938534277,0.09929078014184396,1,0,Primary Scorer,0,Caleb Houstan,435.0
PHI,30.42,9.06,4.39,2.23,1.1,0.65,0.39,0.3,0.37,1.39,7.55,7.48,2.81,31,16.04,13.996055226824458,10.096999999999998,0.5778061224489797,0.2799744897959183,0.14221938775510204,4,0,Primary Scorer,0,Caleb Martin,204.0
LAL,18.08,3.32,2.0,0.74,1.0,0.32,0.37,0.23,0.21,0.39,3.33,2.77,1.45,31,6.990000000000001,8.389380530973453,4.428000000000001,0.5478547854785478,0.33003300330033003,0.1221122112211221,5,-1,Role Player,0,Cam Reddish,376.0
MEM,12.08,4.0,1.7,1.6,0.3,0.1,0.37,0.22,0.3,0.5,3.68,3.0,1.6,10,7.2,13.90728476821192,4.736000000000001,0.547945205479452,0.23287671232876708,0.2191780821917808,2,0,Combo Guard,0,Cam Spencer,370.0
BRK,32.32,24.68,3.58,3.42,0.74,0.05,0.44,0.37,0.88,2.68,16.12,17.74,7.58,19,29.79,30.326732673267323,20.221,0.7790404040404041,0.11300505050505051,0.10795454545454546,3,0,Elite Sharpshooter,1,Cam Thomas,47.0
HOU,17.29,9.94,3.22,0.81,0.66,0.28,0.44,0.29,0.4,1.06,6.42,8.69,3.94,32,13.85,27.067669172932334,8.649,0.7115246957766642,0.2304939155332856,0.05798138869005011,1,0,Primary Scorer,0,Cam Whitmore,248.0
BRK,32.04,19.3,4.08,2.89,0.76,0.49,0.49,0.43,0.73,1.68,14.81,13.11,7.62,37,25.840000000000003,22.157303370786515,18.119,0.7346783403121431,0.15531023981728206,0.11001141987057479,3,0,Elite Sharpshooter,1,Cameron Johnson,71.0
NYK,14.26,7.16,1.42,2.53,0.6,0.24,0.37,0.31,0.32,0.64,5.73,5.93,3.71,45,11.309999999999999,22.11500701262272,7.404,0.6444644464446445,0.1278127812781278,0.2277227722772277,2,-1,Combo Guard,0,Cameron Payne,292.0
CLE,23.79,10.21,2.82,3.68,0.87,0.5,0.43,0.37,0.46,1.34,8.91,7.84,3.89,38,16.740000000000002,18.522068095838588,11.259,0.6110113704368642,0.16876122082585276,0.22022740873728305,2,0,Combo Guard,0,Caris LeVert,178.0
WAS,29.08,8.61,3.88,3.88,0.71,0.18,0.38,0.31,0.32,1.49,6.63,8.04,4.55,51,15.769999999999998,15.730398899587344,9.372,0.5259621258399512,0.23701893708002447,0.23701893708002447,2,-1,Combo Guard,0,Carlton Carrington,224.0
OKC,27.27,7.23,3.4,2.36,1.77,0.57,0.45,0.32,0.18,0.74,7.35,6.68,2.87,47,14.59,13.06050605060506,9.521999999999998,0.5565819861431871,0.2617397998460354,0.18167821401077752,4,0,Primary Scorer,0,Cason Wallace,216.0
SAS,10.81,4.59,4.56,0.44,0.38,0.91,0.48,0.0,0.26,0.69,4.96,3.44,0.0,32,10.19,18.338575393154485,6.529,0.4786235662148072,0.47549530761209596,0.04588112617309698,0,0,Glass Cleaner,0,Charles Bassey,318.0
OKC,26.07,15.27,8.36,1.91,0.91,2.73,0.45,0.33,0.66,2.18,13.9,10.55,3.45,11,27.0,23.43843498273878,17.83,0.5978856695379796,0.3273296789350039,0.07478465152701644,4,0,Primary Scorer,1,Chet Holmgren,72.0
TOR,17.34,10.52,4.27,0.57,0.52,0.55,0.48,0.33,0.43,0.61,8.52,7.52,3.98,44,15.82,22.505190311418684,10.709999999999999,0.6848958333333334,0.27799479166666663,0.037109375,1,0,Primary Scorer,0,Chris Boucher,188.0
CHI,4.38,2.12,1.18,0.53,0.0,0.0,0.39,0.29,0.1,0.06,1.9,1.53,0.88,17,3.77,17.424657534246577,2.461,0.5535248041775457,0.30809399477806787,0.13838120104438642,5,0,Role Player,0,Chris Duarte,434.0
MIL,4.51,1.08,1.54,0.08,0.31,0.0,0.11,0.0,0.12,0.38,0.97,1.0,0.31,13,2.6300000000000003,14.687361419068736,1.468,0.4,0.5703703703703703,0.029629629629629627,0,-1,Glass Cleaner,0,Chris Livingston,459.0
SAS,29.06,9.35,4.08,8.16,1.31,0.2,0.42,0.37,0.6,1.53,11.64,7.43,4.78,49,21.569999999999997,14.799724707501719,14.619,0.4330708661417323,0.1889763779527559,0.3779527559055118,2,-1,Combo Guard,1,Chris Paul,112.0
DEN,32.64,14.61,4.96,2.06,1.14,0.53,0.57,0.33,0.62,1.0,12.8,9.94,2.61,51,22.3,16.08823529411765,15.649999999999999,0.6754507628294036,0.22931114193250116,0.09523809523809525,4,0,Primary Scorer,1,Christian Braun,97.0
LAL,8.47,2.11,2.14,0.43,0.25,0.29,0.44,0.0,0.09,0.25,2.5,1.5,0.07,28,4.97,9.917355371900825,3.2409999999999997,0.45085470085470086,0.4572649572649573,0.09188034188034189,0,0,Glass Cleaner,0,Christian Koloko,417.0
ATL,22.44,9.42,9.0,1.22,0.6,0.98,0.59,0.0,0.39,0.98,9.99,7.33,0.0,45,20.240000000000002,17.775401069518715,13.065,0.47963340122199594,0.45824847250509165,0.06211812627291242,0,0,Glass Cleaner,0,Clint Capela,138.0
CHI,32.58,18.53,3.29,4.64,0.93,0.18,0.44,0.37,0.79,2.44,12.92,14.33,8.18,45,25.13,24.70718232044199,16.583,0.700302343159486,0.12433862433862433,0.17535903250188964,3,0,Elite Sharpshooter,1,Coby White,85.0
CHO,24.8,7.85,4.51,2.28,1.1,0.67,0.41,0.31,0.32,1.08,7.19,6.87,3.18,39,15.33,15.387096774193548,9.632000000000001,0.5362021857923498,0.3080601092896175,0.1557377049180328,4,0,Primary Scorer,0,Cody Martin,215.0
UTA,20.96,3.88,2.19,1.35,0.5,0.38,0.25,0.2,0.25,0.85,2.05,4.62,2.42,26,7.450000000000001,12.526717557251908,3.67,0.522911051212938,0.29514824797843664,0.18194070080862534,5,0,Role Player,0,Cody Williams,401.0
SAC,5.41,1.08,0.96,0.29,0.25,0.29,0.29,0.15,0.0,0.29,1.08,1.08,0.42,24,2.58,12.155268022181147,1.53,0.46351931330472107,0.41201716738197425,0.12446351931330471,0,0,Glass Cleaner,0,Colby Jones,455.0
ORL,17.22,9.08,2.88,2.77,0.62,0.33,0.41,0.29,0.4,1.58,6.13,8.02,3.15,48,14.1,26.7595818815331,8.520999999999999,0.6164290563475899,0.1955193482688391,0.18805159538357094,3,-1,Elite Sharpshooter,0,Cole Anthony,252.0
MEM,4.6,1.4,0.9,0.0,0.1,0.1,0.06,0.0,0.35,0.1,0.96,1.0,0.4,10,2.4,11.478260869565219,1.392,0.6086956521739131,0.391304347826087,0.0,5,-1,Role Player,0,Colin Castleton,460.0
UTA,28.54,18.35,2.89,4.11,0.67,0.09,0.48,0.38,0.76,2.52,12.76,13.57,4.59,46,23.590000000000003,27.060967063770146,16.009,0.7238658777120316,0.11400394477317555,0.1621301775147929,3,0,Elite Sharpshooter,1,Collin Sexton,93.0
WAS,26.68,11.48,2.98,1.59,0.57,0.22,0.43,0.32,0.39,1.04,7.86,9.35,5.41,46,15.8,18.69265367316342,10.242,0.7152647975077882,0.18566978193146416,0.09906542056074766,1,0,Primary Scorer,0,Corey Kispert,202.0
ORL,7.49,1.93,0.77,0.8,0.37,0.1,0.3,0.23,0.03,0.37,1.49,2.0,1.37,30,3.6,15.188251001335114,2.123,0.5514285714285714,0.22,0.2285714285714286,2,0,Combo Guard,0,Cory Joseph,445.0
CLE,9.12,2.56,0.89,1.33,0.28,0.33,0.39,0.14,0.08,0.5,2.69,1.89,0.61,18,4.890000000000001,12.578947368421051,3.3499999999999996,0.5355648535564853,0.18619246861924685,0.27824267782426776,2,0,Combo Guard,0,Craig Porter,414.0
CLE,8.35,3.54,1.0,0.92,0.31,0.31,0.48,0.25,0.19,0.54,3.51,2.08,0.62,13,5.539999999999999,15.061077844311379,4.119,0.6483516483516484,0.18315018315018314,0.1684981684981685,1,0,Primary Scorer,0,Craig Porter Jr.,384.0
LAL,25.71,12.98,2.79,5.14,0.98,0.4,0.38,0.32,0.63,1.86,10.12,10.95,5.93,43,20.43,23.915985997666272,13.212999999999997,0.6207556193208991,0.133428981348637,0.24581539933046387,2,0,Combo Guard,0,D'Angelo Russell,134.0
CHO,18.08,5.39,2.94,1.17,0.72,0.39,0.35,0.27,0.25,0.56,4.58,4.72,2.67,18,10.05,14.017699115044248,6.221,0.5673684210526315,0.3094736842105263,0.12315789473684209,5,0,Role Player,0,DaQuan Jeffries,329.0
POR,15.2,8.43,1.95,2.08,0.7,0.5,0.4,0.27,0.42,1.2,5.97,7.28,3.15,40,12.459999999999999,26.778947368421054,7.916999999999999,0.6765650080256822,0.1565008025682183,0.16693418940609953,1,0,Primary Scorer,0,Dalano Banton,271.0
CHI,12.73,3.79,1.49,1.21,0.47,0.23,0.38,0.18,0.21,0.74,2.89,3.06,1.15,47,6.45,14.32835820895522,3.958,0.5839753466872111,0.2295839753466872,0.18644067796610167,2,0,Combo Guard,0,Dalen Terry,391.0
LAL,20.71,9.42,3.06,0.88,0.33,0.06,0.42,0.3,0.38,0.5,6.64,7.35,4.48,48,13.250000000000002,18.19410912602607,8.623000000000001,0.7050898203592814,0.22904191616766464,0.06586826347305388,1,0,Primary Scorer,0,Dalton Knecht,250.0
