Tm,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,TOV,GmSc,FGA,3PA,Games_Played,Efficiency_Rating,Usage_Rate,Impact_Score,Scoring_Focus,Rebounding_Focus,Playmaking_Focus,Cluster_KMeans,Cluster_DBSCAN,Archetype,Elite_Trajectory,Player_Name,Impact_Score_Rank
MIL,36.24,25.0,4.65,7.42,1.16,0.21,0.44,0.37,0.9,2.84,20.4,17.21,9.0,43,35.599999999999994,26.55629139072848,24.959999999999994,0.674399784192069,0.12543835985972485,0.2001618559482061,3,0,Elite Sharpshooter,1,Damian Lillard,15.0
PHO,5.94,3.14,0.93,0.57,0.29,0.0,0.27,0.18,0.5,0.36,1.89,3.14,1.5,14,4.57,28.28282828282828,2.694,0.6767241379310345,0.20043103448275862,0.12284482758620686,1,-1,Primary Scorer,0,Damion Lee,428.0
DAL,22.02,12.61,6.9,1.43,0.41,1.84,0.69,0.0,0.63,1.2,12.73,7.27,0.0,49,21.99,18.463215258855584,15.508,0.6021967526265521,0.3295128939828081,0.06829035339063992,4,0,Primary Scorer,1,Daniel Gafford,99.0
NOP,16.35,4.26,4.32,1.58,0.47,0.53,0.4,0.17,0.32,0.66,4.78,3.39,0.97,38,10.5,11.889908256880732,6.496,0.41929133858267714,0.4251968503937008,0.15551181102362205,0,0,Glass Cleaner,0,Daniel Theis,320.0
DEN,14.75,3.77,3.62,1.69,0.54,0.08,0.25,0.1,0.23,1.08,2.95,4.15,1.85,13,8.620000000000001,17.019661016949154,4.651,0.41519823788546256,0.3986784140969163,0.18612334801762115,0,-1,Glass Cleaner,0,Dario Šarić,371.0
CLE,30.34,21.86,2.56,6.72,1.12,0.2,0.51,0.43,0.77,2.52,17.46,15.64,6.96,50,29.94,28.73038892551088,21.204,0.7019910083493899,0.08220937700706488,0.2157996146435453,3,0,Elite Sharpshooter,1,Darius Garland,39.0
ATL,12.83,4.52,2.59,1.11,0.44,0.3,0.41,0.28,0.22,0.74,4.06,3.44,1.59,27,8.219999999999999,15.638347622759158,5.308,0.5498783454987834,0.3150851581508516,0.135036496350365,5,0,Role Player,0,David Roddy,352.0
TOR,24.55,6.34,1.93,4.61,0.7,0.18,0.4,0.37,0.28,1.77,5.27,5.55,2.66,44,11.989999999999998,14.312016293279022,7.286,0.4922360248447205,0.14984472049689443,0.35791925465838514,2,-1,Combo Guard,0,Davion Mitchell,294.0
BRK,17.34,8.03,6.03,1.53,0.73,0.63,0.5,0.14,0.54,1.2,7.9,6.3,1.0,30,15.749999999999996,20.761245674740486,10.254999999999999,0.5150737652341245,0.38678640153944843,0.0981398332264272,5,-1,Role Player,0,Day'Ron Sharpe,201.0
SAC,36.87,24.89,4.94,6.28,1.55,0.43,0.47,0.34,0.75,2.85,18.69,19.62,6.34,47,35.239999999999995,29.253051261187963,23.654999999999998,0.6892827471614511,0.13680420936028803,0.1739130434782609,3,0,Elite Sharpshooter,1,De'Aaron Fox,22.0
ATL,28.75,18.97,3.92,1.54,0.84,0.14,0.45,0.39,0.81,1.59,12.78,13.3,6.68,37,23.82,24.859826086956524,16.092,0.7765042979942693,0.16045845272206305,0.06303724928366762,3,0,Elite Sharpshooter,1,De'Andre Hunter,90.0
DEN,11.69,3.57,4.54,0.81,0.27,0.46,0.62,0.0,0.12,0.73,4.16,2.43,0.0,37,8.92,12.975192472198462,5.587999999999999,0.40022421524663676,0.5089686098654709,0.09080717488789239,0,0,Glass Cleaner,0,DeAndre Jordan,346.0
SAC,35.82,21.7,3.74,3.67,1.09,0.46,0.48,0.31,0.84,1.35,16.19,16.61,2.72,46,29.31,24.067001675041876,20.125999999999998,0.7454482995534181,0.12847818619031262,0.12607351425626934,3,0,Elite Sharpshooter,1,DeMar DeRozan,52.0
CLE,22.83,6.03,5.09,1.57,0.86,0.46,0.42,0.37,0.22,0.31,6.26,5.11,4.26,35,13.700000000000001,11.395532194480946,8.492,0.47517730496453897,0.4011032308904649,0.12371946414499606,0,0,Glass Cleaner,0,Dean Wade,254.0
POR,30.39,14.74,10.32,1.63,0.82,0.97,0.57,0.1,0.3,1.66,13.38,11.92,0.84,38,26.82,21.449160908193484,17.412,0.5522667665792431,0.3866616710378419,0.061071562382914946,4,-1,Primary Scorer,1,Deandre Ayton,80.0
NOP,32.65,17.48,6.45,7.35,2.03,0.39,0.39,0.28,0.76,3.42,13.95,15.94,5.61,31,30.28,28.46186830015314,18.848999999999997,0.5588235294117647,0.20620204603580564,0.23497442455242964,3,0,Elite Sharpshooter,1,Dejounte Murray,62.0
MIL,15.56,2.5,1.77,1.85,0.88,0.35,0.22,0.18,0.12,0.54,2.9,3.15,1.88,26,6.809999999999999,11.383033419023135,4.0729999999999995,0.40849673202614384,0.28921568627450983,0.30228758169934644,2,-1,Combo Guard,0,Delon Wright,387.0
POR,28.67,14.61,6.43,3.37,1.02,0.55,0.45,0.32,0.73,2.49,11.64,10.43,4.39,49,23.490000000000002,21.63097314265783,15.195,0.5985251945923802,0.26341663252765257,0.13805817287996722,4,0,Primary Scorer,1,Deni Avdija,104.0
BRK,29.79,14.43,2.64,5.47,1.09,0.15,0.41,0.36,0.6,2.28,10.34,12.26,5.64,47,21.499999999999996,23.427995971802616,13.687999999999999,0.6401952085181899,0.1171251109139308,0.24267968056787934,3,0,Elite Sharpshooter,0,Dennis Schröder,124.0
DAL,24.14,8.68,7.76,2.48,0.64,1.6,0.7,0.0,0.45,1.28,10.76,5.16,0.0,25,19.88,12.8053024026512,13.495999999999999,0.45877378435517974,0.4101479915433404,0.13107822410147993,0,0,Glass Cleaner,0,Dereck Lively,127.0
LAC,24.63,10.0,3.34,0.93,1.31,0.34,0.52,0.39,0.46,1.0,7.89,7.83,2.83,29,14.92,17.20828258221681,9.998999999999999,0.700770847932726,0.23405746320953047,0.06517168885774352,1,0,Primary Scorer,0,Derrick Jones,206.0
LAC,26.02,11.15,4.2,0.85,1.05,0.45,0.55,0.25,0.42,0.9,9.09,8.4,2.85,20,16.800000000000004,17.156033820138358,11.403,0.6882716049382716,0.25925925925925924,0.052469135802469126,4,0,Primary Scorer,0,Derrick Jones Jr.,174.0
BOS,33.62,16.1,4.2,4.14,0.88,1.16,0.44,0.38,0.6,1.55,13.31,12.53,8.82,49,24.93,20.102320047590723,16.796,0.6587561374795418,0.1718494271685761,0.16939443535188214,3,0,Elite Sharpshooter,1,Derrick White,82.0
MEM,30.07,17.92,5.68,5.45,1.2,0.42,0.49,0.36,0.65,2.48,14.9,13.7,5.6,40,28.19,25.827735284336548,18.887,0.6168674698795181,0.1955249569707401,0.18760757314974183,3,0,Elite Sharpshooter,1,Desmond Bane,61.0
PHO,37.18,26.41,4.02,6.7,1.09,0.26,0.44,0.31,0.87,2.7,20.12,19.02,7.78,46,35.78,28.040882194728347,24.817999999999998,0.7112846754645838,0.10826824670078102,0.18044707783463507,3,0,Elite Sharpshooter,1,Devin Booker,16.0
SAC,9.87,3.69,2.5,1.31,0.31,0.19,0.23,0.16,0.33,0.5,2.78,3.81,1.94,16,7.5,20.960486322188455,4.196,0.492,0.3333333333333333,0.17466666666666666,5,0,Role Player,0,Devin Carter,382.0
SAS,30.35,16.15,3.62,3.0,1.18,0.5,0.43,0.36,0.51,1.59,11.25,14.12,6.5,34,22.86,24.84612850082372,14.732999999999999,0.7092665788317962,0.15898111550285465,0.13175230566534915,3,0,Elite Sharpshooter,1,Devin Vassell,110.0
HOU,32.31,13.58,3.79,1.48,0.79,0.23,0.41,0.36,0.46,1.04,8.34,11.83,6.08,48,18.830000000000002,19.119777158774372,11.486999999999998,0.7204244031830238,0.20106100795755966,0.07851458885941644,4,0,Primary Scorer,0,Dillon Brooks,169.0
OKC,8.9,2.06,2.03,0.91,0.19,0.09,0.17,0.07,0.16,0.41,1.54,2.38,1.28,32,4.87,15.047191011235956,2.5389999999999997,0.41200000000000003,0.40599999999999997,0.182,0,-1,Glass Cleaner,0,Dillon Jones,432.0
SAC,35.99,20.4,14.27,6.33,0.62,0.44,0.61,0.45,0.69,3.02,20.7,13.25,2.44,48,39.03999999999999,21.699360933592665,26.201999999999998,0.49756097560975604,0.34804878048780485,0.15439024390243902,4,-1,Primary Scorer,1,Domantas Sabonis,10.0
ATL,7.94,2.8,1.53,0.2,0.2,0.47,0.28,0.2,0.13,0.07,2.3,2.53,0.73,15,5.13,15.717884130982364,3.149,0.6181015452538631,0.33774834437086093,0.04415011037527594,5,0,Role Player,0,Dominick Barlow,418.0
POR,16.06,5.03,6.45,0.74,0.42,1.5,0.53,0.14,0.27,1.16,5.71,4.03,0.58,38,12.98,15.511830635118308,7.891,0.411620294599018,0.527823240589198,0.06055646481178396,0,0,Glass Cleaner,0,Donovan Clingan,272.0
CLE,31.31,24.02,4.35,4.73,1.43,0.2,0.45,0.39,0.74,2.0,17.66,18.73,9.33,49,32.73,31.78026189715746,22.180999999999997,0.7256797583081572,0.1314199395770393,0.14290030211480367,3,0,Elite Sharpshooter,1,Donovan Mitchell,30.0
MIN,26.43,11.0,3.68,3.6,1.2,0.18,0.38,0.35,0.42,1.78,8.64,9.32,6.98,40,17.88,20.158910329171395,11.411999999999999,0.6017505470459519,0.20131291028446388,0.19693654266958424,2,0,Combo Guard,0,Donte DiVincenzo,172.0
BRK,27.05,8.89,3.86,1.31,0.89,0.34,0.45,0.4,0.17,0.86,7.15,6.77,4.69,35,14.430000000000001,13.539371534195933,9.334,0.6322901849217639,0.27453769559032715,0.09317211948790896,4,0,Primary Scorer,0,Dorian Finney-Smith,226.0
SAC,8.39,3.42,0.55,0.13,0.13,0.03,0.26,0.27,0.04,0.16,1.86,2.74,2.32,31,4.1,16.5911799761621,2.532,0.8341463414634147,0.13414634146341467,0.03170731707317073,1,-1,Primary Scorer,0,Doug McDermott,433.0
GSW,28.15,8.38,5.95,5.51,1.08,1.08,0.4,0.32,0.41,2.41,8.55,7.0,3.65,37,19.59,16.045470692717586,11.862,0.4223790322580645,0.29989919354838707,0.2777217741935483,2,-1,Combo Guard,0,Draymond Green,162.0
UTA,15.09,5.67,4.46,1.15,0.26,0.82,0.61,0.08,0.38,0.79,5.84,3.82,0.13,39,11.57,14.664015904572564,7.559,0.5026595744680852,0.39539007092198586,0.10195035460992907,5,0,Role Player,0,Drew Eubanks,288.0
BOS,9.04,2.71,1.93,0.79,0.14,0.14,0.41,0.31,0.18,0.36,2.59,1.79,1.36,14,5.349999999999999,11.415929203539823,3.4179999999999993,0.4990791896869245,0.35543278084714547,0.14548802946593004,5,0,Role Player,0,Drew Peterson,413.0
MIA,19.16,6.29,2.57,1.64,1.5,0.43,0.44,0.39,0.18,1.21,6.03,4.36,2.14,14,11.219999999999999,13.954070981210856,7.587,0.599047619047619,0.24476190476190474,0.15619047619047619,4,0,Primary Scorer,0,Dru Smith,284.0
MIA,24.25,10.85,2.33,2.58,0.56,0.1,0.4,0.37,0.3,1.12,7.26,9.17,6.58,48,15.3,20.36783505154639,9.672,0.6884517766497462,0.14784263959390864,0.1637055837563452,1,0,Primary Scorer,0,Duncan Robinson,213.0
POR,5.33,2.28,0.88,0.24,0.0,0.08,0.3,0.19,0.11,0.16,1.38,2.0,1.4,25,3.3199999999999994,19.452157598499063,1.9619999999999997,0.6705882352941177,0.25882352941176473,0.07058823529411766,1,0,Primary Scorer,0,Duop Reath,448.0
DAL,7.59,1.48,1.79,0.7,0.36,0.45,0.26,0.03,0.23,0.21,2.45,0.55,0.03,33,4.57,4.806324110671937,3.0860000000000003,0.37279596977329976,0.4508816120906801,0.17632241813602015,0,-1,Glass Cleaner,0,Dwight Powell,420.0
ATL,33.9,13.83,5.38,3.96,2.98,0.77,0.48,0.36,0.35,1.91,12.92,12.26,3.51,47,25.01,20.063716814159292,16.546999999999997,0.5968925334484246,0.23219680621493308,0.1709106603366422,4,0,Primary Scorer,1,Dyson Daniels,86.0
IND,7.32,1.68,1.0,0.42,0.11,0.11,0.36,0.03,0.18,0.26,1.15,1.32,0.32,19,3.0599999999999996,10.360655737704919,1.7229999999999999,0.5419354838709678,0.32258064516129037,0.13548387096774195,5,0,Role Player,0,Enrique Freeman,452.0
PHI,19.99,7.0,1.21,1.68,0.68,0.32,0.39,0.35,0.37,0.74,5.49,5.37,3.61,38,10.15,14.671335667833919,6.888,0.7077856420626896,0.1223458038422649,0.16986855409504548,1,0,Primary Scorer,0,Eric Gordon,309.0
CLE,30.05,18.46,9.0,2.89,0.85,1.48,0.56,0.32,0.75,1.89,16.91,12.5,2.83,46,30.79,22.98569051580699,21.073999999999998,0.6082372322899505,0.29654036243822074,0.09522240527182867,4,0,Primary Scorer,1,Evan Mobley,42.0
ORL,32.78,24.79,5.36,5.09,1.45,0.45,0.46,0.29,0.79,2.24,18.66,19.24,6.36,33,34.9,31.45332519829164,23.531999999999996,0.7034619750283769,0.15209988649262204,0.14443813847900117,3,0,Elite Sharpshooter,1,Franz Wagner,23.0
HOU,35.5,14.62,3.89,5.8,1.6,0.44,0.37,0.33,0.56,1.56,12.23,13.04,7.76,45,24.790000000000003,19.740845070422534,15.998000000000001,0.6013986013986014,0.1600164541341012,0.23858494446729742,2,0,Combo Guard,1,Fred VanVleet,94.0
LAL,20.31,5.38,1.26,1.26,0.67,0.24,0.38,0.29,0.06,0.62,3.43,4.95,3.43,42,8.190000000000001,13.163958641063518,4.8580000000000005,0.6810126582278482,0.15949367088607597,0.15949367088607597,1,0,Primary Scorer,0,Gabe Vincent,367.0
TOR,3.9,0.65,0.59,0.65,0.35,0.12,0.12,0.06,0.12,0.24,0.81,0.88,0.41,17,2.12,13.784615384615385,1.2029999999999998,0.3439153439153439,0.31216931216931215,0.3439153439153439,2,-1,Combo Guard,0,Garrett Temple,463.0
ATL,17.74,7.53,1.84,1.3,0.6,0.26,0.34,0.33,0.47,0.67,5.43,5.49,4.67,43,10.860000000000001,16.6674182638106,7.059,0.7057169634489221,0.17244611059044046,0.12183692596063729,1,0,Primary Scorer,0,Garrison Mathews,303.0
ORL,16.03,3.75,1.21,0.46,0.62,0.25,0.33,0.25,0.06,0.46,2.73,3.38,2.62,24,5.83,11.498440424204615,3.6599999999999997,0.6918819188191881,0.22324723247232472,0.08487084870848709,1,0,Primary Scorer,0,Gary Harris,402.0
GSW,13.14,4.64,2.79,1.21,0.71,0.36,0.54,0.11,0.13,0.5,4.79,3.79,1.14,28,9.21,15.67123287671233,6.116,0.537037037037037,0.32291666666666663,0.14004629629629628,5,0,Role Player,0,Gary Payton,332.0
GSW,14.4,6.5,3.42,1.42,0.5,0.17,0.49,0.25,0.5,1.17,4.74,4.75,1.58,12,10.84,19.73333333333333,6.57,0.5731922398589065,0.30158730158730157,0.12522045855379188,5,0,Role Player,0,Gary Payton II,316.0
MIL,24.76,9.52,2.24,0.9,1.0,0.07,0.41,0.37,0.34,0.66,6.21,7.9,5.07,29,13.07,16.594507269789982,8.267999999999999,0.7519747235387045,0.1769352290679305,0.07109004739336493,1,0,Primary Scorer,0,Gary Trent,260.0
MIL,24.44,10.71,2.47,1.35,0.94,0.06,0.44,0.45,0.21,0.41,8.25,8.12,5.59,17,15.120000000000001,16.752864157119472,10.311,0.7370956641431521,0.16999311768754302,0.09291121816930488,1,0,Primary Scorer,0,Gary Trent Jr.,197.0
CLE,20.65,8.73,3.71,1.31,0.33,0.14,0.48,0.39,0.22,0.94,5.98,6.82,4.41,51,13.280000000000003,18.037772397094432,8.170000000000002,0.6349090909090909,0.2698181818181818,0.09527272727272726,4,0,Primary Scorer,0,Georges Niang,262.0
MIL,34.95,31.62,12.33,5.98,0.79,1.36,0.61,0.07,0.54,3.45,26.38,20.86,0.76,42,48.63,33.38712446351931,33.055,0.6332866012417384,0.24694572401361903,0.11976767474464249,3,0,Elite Sharpshooter,1,Giannis Antetokounmpo,2.0
ORL,23.87,9.14,8.1,2.29,0.81,1.6,0.66,0.04,0.39,1.36,10.85,6.19,0.45,42,20.580000000000002,15.18223711772099,13.768999999999998,0.4679979518689196,0.4147465437788018,0.11725550435227854,0,0,Glass Cleaner,0,Goga Bitadze,122.0
TOR,29.85,15.62,3.42,1.93,0.82,0.2,0.42,0.36,0.74,1.58,9.86,12.73,6.29,45,20.409999999999997,23.01105527638191,13.024999999999999,0.7448736289938007,0.1630901287553648,0.09203624225083452,3,0,Elite Sharpshooter,0,Gradey Dick,140.0
CHO,29.94,10.38,5.12,2.31,1.12,0.81,0.44,0.36,0.58,1.75,8.59,7.69,4.62,16,17.99,15.13426853707415,11.41,0.5828186412128019,0.287478944413251,0.12970241437394722,4,0,Primary Scorer,0,Grant Williams,173.0
PHO,25.1,11.07,3.45,2.05,0.95,0.31,0.45,0.44,0.42,1.02,9.15,7.9,5.9,42,16.81,17.05816733067729,11.448,0.6680748340374171,0.20820760410380207,0.12371756185878091,4,0,Primary Scorer,0,Grayson Allen,171.0
PHI,26.84,11.1,5.67,2.04,0.79,0.42,0.5,0.32,0.47,1.31,9.67,7.9,3.79,48,18.71,16.470938897168406,12.382,0.5901116427432217,0.3014354066985646,0.10845295055821373,4,0,Primary Scorer,0,Guerschon Yabusele,153.0
GSW,12.51,4.0,2.58,1.15,0.35,0.12,0.35,0.23,0.19,0.62,3.68,2.88,1.85,26,7.579999999999999,13.42925659472422,4.85,0.517464424320828,0.33376455368693403,0.14877102199223802,5,0,Role Player,0,Gui Santos,368.0
SAS,27.79,11.63,4.0,1.78,0.37,0.2,0.48,0.37,0.58,0.59,10.04,7.94,3.65,49,17.39,14.73335732277798,12.244999999999997,0.6680068925904653,0.22975301550832855,0.1022400919012062,4,0,Primary Scorer,0,Harrison Barnes,156.0
MIA,23.91,6.4,3.1,1.21,0.94,0.62,0.39,0.3,0.13,0.71,5.64,5.17,3.04,48,11.559999999999999,11.80426599749059,7.415999999999999,0.5975723622782446,0.2894491129785247,0.11297852474323061,4,0,Primary Scorer,0,Haywood Highsmith,291.0
NOP,32.41,10.25,3.9,3.25,1.85,0.45,0.43,0.26,0.49,1.75,8.57,8.6,3.6,20,17.95,15.328602283245912,11.384,0.589080459770115,0.22413793103448276,0.18678160919540232,4,0,Primary Scorer,0,Herbert Jones,175.0
DEN,7.66,2.22,1.56,0.36,0.14,0.14,0.3,0.26,0.21,0.33,1.55,1.81,1.17,36,4.09,13.409921671018276,2.312,0.536231884057971,0.3768115942028985,0.08695652173913042,5,0,Role Player,0,Hunter Tyson,439.0
TOR,25.95,14.31,2.23,6.0,0.54,0.15,0.44,0.38,0.81,1.69,11.28,11.54,5.46,13,21.539999999999996,24.471676300578032,14.357999999999997,0.634871339840284,0.09893522626441881,0.26619343389529726,2,0,Combo Guard,1,Immanuel Quickley,117.0
SAC,8.73,3.64,1.52,0.32,0.12,0.32,0.47,0.04,0.25,0.48,2.78,2.32,0.16,25,5.440000000000001,15.395189003436423,3.5780000000000003,0.6642335766423357,0.2773722627737226,0.058394160583941604,1,0,Primary Scorer,0,Isaac Jones,407.0
CLE,19.68,5.75,2.07,1.64,0.68,0.39,0.44,0.34,0.31,0.39,5.01,4.68,2.79,28,10.14,12.365853658536583,6.5489999999999995,0.6078224101479915,0.2188160676532769,0.17336152219873147,4,0,Primary Scorer,0,Isaac Okoro,317.0
UTA,22.97,6.45,2.9,5.52,0.81,0.19,0.38,0.15,0.28,2.71,4.98,6.62,2.14,42,13.16,19.49673487157162,7.434,0.433759246805649,0.19502353732347008,0.37121721587088097,2,-1,Combo Guard,0,Isaiah Collier,290.0
OKC,29.26,11.52,11.97,4.13,0.84,1.1,0.55,0.0,0.51,1.77,13.34,8.77,0.42,31,27.790000000000003,17.2904989747095,17.674999999999997,0.41708906589427946,0.4333816075307748,0.1495293265749457,0,-1,Glass Cleaner,1,Isaiah Hartenstein,78.0
OKC,21.05,9.79,2.53,1.38,0.7,0.13,0.41,0.37,0.24,0.45,7.26,7.83,6.11,47,14.08,18.880760095011873,9.306000000000001,0.7145985401459853,0.18467153284671534,0.10072992700729927,1,0,Primary Scorer,0,Isaiah Joe,227.0
DET,20.22,5.66,5.81,1.7,0.38,1.26,0.5,0.13,0.34,0.87,6.63,4.34,0.72,47,13.94,12.367952522255193,8.823,0.42976461655277154,0.4411541381928626,0.129081245254366,0,0,Glass Cleaner,0,Isaiah Stewart,243.0
CHO,12.54,5.33,1.67,1.44,0.56,0.0,0.37,0.33,0.37,0.83,3.51,4.94,1.61,18,8.17,22.08612440191388,4.9079999999999995,0.6315165876777251,0.19786729857819907,0.17061611374407584,1,0,Primary Scorer,0,Isaiah Wong,364.0
LAC,31.96,15.16,12.65,2.49,0.73,1.12,0.6,0.0,0.5,1.71,15.8,11.0,0.0,49,30.440000000000005,19.08886107634543,20.192,0.5003300330033003,0.41749174917491744,0.08217821782178217,4,0,Primary Scorer,1,Ivica Zubac,48.0
MEM,28.36,20.67,4.17,7.5,1.33,0.3,0.46,0.31,0.78,3.93,15.72,15.67,4.9,30,30.04,33.1734837799718,20.016,0.6391465677179963,0.1289424860853432,0.23191094619666044,3,-1,Elite Sharpshooter,1,Ja Morant,53.0
TOR,19.32,7.73,2.39,1.45,0.67,0.21,0.39,0.25,0.29,0.79,5.09,6.94,3.33,33,11.66,19.20496894409938,7.061,0.6681071737251513,0.2065687121866897,0.12532411408815902,1,0,Primary Scorer,0,Ja'Kobe Walter,302.0
HOU,31.18,11.91,6.69,1.03,0.31,0.97,0.42,0.33,0.53,0.91,9.37,9.53,4.88,32,20.0,16.07184092366902,12.559,0.6067244014263881,0.3408048904737646,0.05247070809984717,4,0,Primary Scorer,0,Jabari Smith,149.0
POR,10.13,3.22,2.81,0.46,0.51,0.14,0.33,0.14,0.19,0.54,2.68,2.86,0.92,37,6.6,16.11056268509378,3.856,0.49614791987673346,0.43297380585516176,0.07087827426810478,5,0,Role Player,0,Jabari Walker,394.0
NYK,3.04,0.38,0.69,0.25,0.12,0.0,0.12,0.0,0.0,0.12,0.37,0.62,0.12,16,1.3199999999999998,11.684210526315788,0.655,0.2878787878787879,0.5227272727272727,0.18939393939393942,0,-1,Glass Cleaner,0,Jacob Toppin,473.0
DAL,15.61,8.36,1.59,1.38,0.54,0.13,0.36,0.3,0.41,1.46,4.53,7.1,3.38,39,10.54,26.321588725176166,6.332999999999999,0.7378640776699029,0.14033539276257725,0.12180052956751987,1,0,Primary Scorer,0,Jaden Hardy,323.0
DET,29.93,17.6,4.13,3.97,0.93,0.37,0.46,0.4,0.69,2.97,11.96,13.77,5.13,30,24.03,26.846642165051787,15.581,0.6848249027237355,0.16070038910505838,0.15447470817120623,3,0,Elite Sharpshooter,1,Jaden Ivey,98.0
MIN,31.45,10.98,5.48,1.71,1.42,0.88,0.46,0.37,0.35,1.13,9.24,9.35,3.81,52,19.340000000000003,15.994912559618443,12.27,0.6042927903137039,0.3015960374243258,0.09411117226197027,4,0,Primary Scorer,0,Jaden McDaniels,155.0
BOS,5.42,1.73,0.92,0.38,0.46,0.04,0.17,0.08,0.23,0.15,1.59,1.31,0.73,26,3.38,12.92988929889299,2.127,0.570957095709571,0.30363036303630364,0.12541254125412543,5,0,Role Player,0,Jaden Springer,443.0
HOU,11.39,3.91,2.16,0.91,0.62,0.06,0.35,0.09,0.3,0.41,3.42,3.0,0.69,32,7.25,14.370500438981562,4.568999999999999,0.5601719197707736,0.30945558739255014,0.1303724928366762,5,0,Role Player,0,Jae'Sean Tate,373.0
MIA,21.58,8.62,4.65,2.12,1.12,0.12,0.43,0.2,0.44,1.5,6.78,7.58,2.12,26,15.130000000000003,20.19647822057461,9.285,0.5601039636127355,0.3021442495126706,0.13775178687459388,4,0,Primary Scorer,0,Jaime Jaquez,228.0
MIA,25.21,10.26,4.79,3.53,1.05,0.32,0.43,0.25,0.59,1.47,9.66,7.68,1.89,19,18.480000000000004,17.421658072193576,12.306000000000001,0.5522066738428417,0.25780409041980623,0.18998923573735196,4,0,Primary Scorer,0,Jaime Jaquez Jr.,154.0
MEM,20.89,7.3,4.36,2.83,0.94,0.43,0.47,0.35,0.43,1.47,7.31,5.13,1.91,47,14.389999999999999,15.165150789851602,9.433999999999997,0.5037957211870255,0.3008971704623879,0.19530710835058662,2,0,Combo Guard,0,Jake LaRavia,221.0
TOR,30.86,14.16,10.11,2.84,1.16,1.29,0.59,0.0,0.47,1.93,14.36,10.2,0.04,45,27.63,18.86714193130266,18.341,0.5223164883806714,0.37292511988196236,0.10475839173736629,4,0,Primary Scorer,1,Jakob Poeltl,68.0
NYK,35.27,26.08,2.9,7.52,0.96,0.08,0.49,0.36,0.79,2.42,20.29,18.44,5.84,50,35.12,28.388999149418765,24.738999999999997,0.7145205479452055,0.07945205479452054,0.20602739726027397,3,0,Elite Sharpshooter,1,Jalen Brunson,18.0
DET,25.61,10.73,10.04,2.37,0.65,1.16,0.68,0.0,0.53,1.92,12.03,6.43,0.0,49,23.03,15.65013666536509,15.329999999999998,0.4636992221261884,0.43388072601555744,0.1024200518582541,0,0,Glass Cleaner,1,Jalen Duren,102.0
HOU,33.2,21.45,4.35,2.92,0.88,0.31,0.42,0.32,0.76,2.53,13.39,17.63,8.12,51,27.379999999999995,29.14698795180723,17.586999999999996,0.746866295264624,0.15146239554317548,0.10167130919220056,3,0,Elite Sharpshooter,1,Jalen Green,79.0
ATL,35.67,18.89,9.97,5.03,1.56,1.0,0.5,0.29,0.62,2.94,16.77,15.06,3.92,36,33.510000000000005,24.222035323801514,21.792,0.5573915609324285,0.2941870758335792,0.14842136323399233,4,0,Primary Scorer,1,Jalen Johnson,32.0
DEN,9.42,2.73,1.0,1.68,0.23,0.09,0.41,0.26,0.05,0.36,2.65,2.5,1.27,22,5.37,14.573248407643312,3.4659999999999997,0.5046210720887245,0.18484288354898337,0.31053604436229204,2,-1,Combo Guard,0,Jalen Pickett,411.0
CHI,15.33,8.45,5.62,0.91,0.26,0.74,0.47,0.32,0.43,0.6,7.57,6.36,3.47,47,15.38,21.792563600782778,9.913,0.5640854472630173,0.3751668891855808,0.06074766355140187,5,0,Role Player,0,Jalen Smith,208.0
ORL,28.64,16.2,4.03,3.69,1.46,0.94,0.41,0.31,0.64,2.91,10.82,13.74,6.91,35,23.410000000000004,27.90502793296089,14.597000000000001,0.6772575250836119,0.16847826086956522,0.15426421404682272,3,0,Elite Sharpshooter,1,Jalen Suggs,114.0
OKC,32.68,21.02,5.48,5.08,1.77,0.77,0.48,0.31,0.69,2.23,16.54,17.17,4.9,48,31.890000000000004,28.494492044063648,21.145,0.6656111462951235,0.1735275490816973,0.16086130462317924,3,0,Elite Sharpshooter,1,Jalen Williams,40.0
BRK,27.39,9.47,3.47,1.9,0.55,0.04,0.42,0.32,0.49,1.14,6.27,8.2,4.45,51,14.290000000000001,16.36801752464403,8.675999999999998,0.6381401617250674,0.23382749326145552,0.12803234501347707,4,0,Primary Scorer,0,Jalen Wilson,247.0
NOP,12.6,3.7,2.4,0.55,0.45,0.35,0.33,0.2,0.29,0.45,3.1,3.15,1.75,20,6.999999999999999,13.714285714285715,4.27,0.5563909774436091,0.3609022556390978,0.08270676691729324,5,0,Role Player,0,Jamal Cain,381.0
DEN,35.98,20.16,4.02,6.11,1.42,0.56,0.45,0.34,0.82,2.18,16.2,16.31,5.53,45,30.090000000000003,24.66703724291273,20.366999999999997,0.6655661934631892,0.13271706833938593,0.20171673819742492,3,0,Elite Sharpshooter,1,Jamal Murray,44.0
TOR,17.17,5.87,1.17,3.59,0.57,0.11,0.42,0.33,0.24,1.46,4.33,5.39,2.35,46,9.849999999999998,19.149679673849732,5.985999999999999,0.5522107243650047,0.11006585136406398,0.3377234242709313,2,-1,Combo Guard,0,Jamal Shead,340.0
LAC,33.89,21.31,5.75,8.42,1.46,0.6,0.39,0.34,0.86,4.5,16.86,15.77,8.12,48,33.04,28.70935379167896,21.714,0.600620067643743,0.16206313416009022,0.23731679819616688,3,0,Elite Sharpshooter,1,James Harden,33.0
